vital_name,raw_column,clean_column,raw_n,clean_n,raw_removed_n,raw_removed_pct,converted_celsius_like_n
triage_temp,ed_triage_temp,ed_triage_temp_f_clean,8435,8434,1,0.00011855364552459988,20
first_temp,ed_first_temp,ed_first_temp_f_clean,6993,6993,0,0.0,56
triage_pain,ed_triage_pain,ed_triage_pain_clean,8244,7674,570,0.06914119359534207,0
first_pain,ed_first_pain,ed_first_pain_clean,7163,7163,0,0.0,0
triage_sbp,ed_triage_sbp,ed_triage_sbp_clean,8883,8876,7,0.0007880220646178094,0
triage_dbp,ed_triage_dbp,ed_triage_dbp_clean,8842,8829,13,0.001470255598280932,0
first_sbp,ed_first_sbp,ed_first_sbp_clean,9296,9289,7,0.0007530120481927711,0
first_dbp,ed_first_dbp,ed_first_dbp_clean,9296,9286,10,0.0010757314974182443,0
triage_o2sat,ed_triage_o2sat,ed_triage_o2sat_clean,8786,8785,1,0.00011381743683132256,0
first_o2sat,ed_first_o2sat,ed_first_o2sat_clean,9053,9052,1,0.00011046062078868883,0
