report_dir	pdf_count	has_11769	has_41322	has_115179
20260215_191258	1	0	0	0
20260215_195616	0	0	0	0
20260216_111422	1	0	1	0
20260216_112448	1	0	0	0
20260216_112741	0	0	0	0
20260216_112902	1	0	1	0
20260216_113413	1	0	1	0
20260216_113922	1	0	0	0
20260216_115144	1	0	1	0
20260216_120037	1	0	0	0
20260216_120327	1	0	1	0
20260216_141040	0	0	0	0
20260216_145249	0	0	0	0
20260216_150415	0	0	0	0
20260216_151254	4	0	1	0
20260216_154317	1	0	0	0
20260216_155257	1	0	1	0
20260216_160119	1	0	0	0
20260216_160449	4	0	1	0
20260216_183759	0	0	0	0
20260216_184649	1	0	0	0
20260216_190649	1	0	1	0
20260216_191616	1	0	0	0
20260216_191921	1	0	1	0
20260216_205115	0	0	0	0
20260216_210052	1	0	0	0
20260216_212422	3	0	1	0
20260216_215222	1	0	0	0
20260216_220638	1	0	1	0
20260216_221600	1	0	0	0
20260216_221912	0	0	0	0
20260216_222038	4	0	1	1
20260217_003126	0	0	0	0
20260217_004224	0	0	0	0
20260217_011547	0	0	0	0
20260217_012510	4	0	1	1
20260217_064256	0	0	0	0
20260217_071617	4	0	0	0
20260217_081551	0	0	0	0
20260217_084825	0	0	0	0
20260217_092143	0	0	0	0
20260217_093349	1	0	0	0
20260217_093538	1	0	0	0
20260217_101713	1	0	0	0
20260217_130000	0	0	0	0
20260217_134955	3	1	0	0
20260218_075533	0	0	0	0
20260218_075804	4	1	0	0
20260218_155453	4	1	0	0
20260218_161249	1	1	0	0
20260218_161521	0	0	0	0
20260218_162048	4	1	0	0
